title,intro,aid,view,danmaku,reply,favorite,coin,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
【野外试验第十期】来体验下豪猪刚毛的威力吧@油兔不二字幕组,"Youtube上YIKES! Quilled by a Porcupine! 
油兔不二字幕组专注Youtube热门视频原创译制 每日更新5-10条   观看更多精彩内容 关注微信公众号：油兔不二 微博：油兔不二字幕组
油兔不二招募 片源 听译 翻译 时间轴 后期 压制 校正 特效 宣传 小编 美工 上传发布 欢迎人才加入油兔不二测试群496467129",4410107,26581,395,49,220,97,YOUTUBE,中英字幕,高清,自然,野外试验,油兔不二,趣味短片,豪猪,狼叔,
大片既视感的《亮剑》,自制 都审核快半年的旧作品，第一次给亮剑做的视频！！！重新发一下试试~~~,4410128,61216,585,119,1037,898,亮剑,影视剪影,敬阿婆主是个人才,UP主你他娘的是个天才,,,,,,
【百度GOT7吧·中字】[M2]GOT7啊!一起玩吧!!合集,本视频中字由[百度GOT7吧]制作发布 翻译内容仅供参考学习交流之用 禁止任何组织或个人以任何形式商用、二改、二次上传在线(包括土豆/b站/优酷等视频网站) 转载请注明[百度GOT7吧]并携带本吧视频链接 禁止将本吧LOGO涂抹、切割,4410125,129399,1326,158,11783,296,GOT7,,,,,,,,,
【美容木下】【UUUM字幕】关于美容的话题,"youtube ytb  新浪微博@大宝剑娘 http://weibo.com/dabaojianzimuzu


招收翻译和字幕君  Q群419733652      每天一发大宝剑 不包夜哟",4410144,27039,178,78,192,25,木下佑哗,木下求饱,吃货木下,吃货,萌妹纸,YOUTUBE,,,,
【Day 1】实况直播186斤女屌丝变成106斤女神,"自制 我最胖的时候186斤，已经减肥五个月了，现在144斤整，之前一直没想到拍视频记录自己身体变化的这个点子，现在有点后悔，现在这个实况直播将从144斤开始到106斤。
因为up主有黑眼圈，痘印，肥胖，和减肥后脸部的肉松弛等很多问题，所以up主也会在直播减肥的时候，直播解决这些问题。试用各种产品，按摩手法之类的。
今天是21天减肥法第一天，就一个字饿。
我的微博@不要肉肉肉肉的X",4410171,13055,187,79,227,44,减肥,日常,教程,化妆教程,美妆,化妆,时尚,健身,运动,
 【暴走吧bilibili】08 游戏达人陆夫人&PI&小绝霸气踢馆,自制 这周六，陆夫人将带领小绝、PI好基友来到节目现场，与脑残三人组展开正面交（dou）锋（bi）！！！为了给观众发福利送奖品，他们将接受来自容嬷嬷的扎针惩罚、为节目效果丢弃颜值、以及超级搞笑的大头死变态等等挑战......不仅如此，本期节目中将出现连站神木子都一脸懵逼的猜题游戏，并首度出现比暴走恐怖特饮5.0还令人胆颤的惩罚选项，到底是什么惩罚纸巾连喊雅蠛蝶！！让pino哭着喊想回家？？一场腥风血雨即将掀起，爆笑！精彩！千万别错过~~,4410196,137507,11272,1063,2901,1467,暴走吧BILIBILI,原创,暴走出品,暴走漫画,神奇陆夫人,A_PI,羞耻PLAY,FLAG插满地,又一丧心病狂系列,小绝
【央视纪录片】春秋争霸【1080P】,央视。春秋争霸的故事人们耳熟能详，近年来的考古发现又会告诉我们哪些不一样的尘封历史呢？,4410223,29285,12,49,3106,41,历史,中国,纪录片,春秋,考古,CCTV,,,,
【诺顿秀】锤哥克里斯·海姆斯沃斯讲关于“索尔”的荤段子 @柚子木字幕组,2 https://www.youtube.com/watch?v=lyqhEIpFqhs【柚子木字幕组论坛正式开放 www.youzimu.com 招募翻译、听译、校对、时间轴】 更多精彩视频请 微信公众号Youzimu  微博搜索@柚子木字幕组 http://weibo.com/youzimucom,4410218,38919,189,66,652,65,柚子木字幕组,YOUTUBE,,,,,,,,
【骚男直播】骚男中单刀妹刀妹刀妹对线阿狸，重要的事情说三遍！,"自制 骚男直播录制，每天15:00-20:00，YY90077，主打男刀，亚索
骚男外设店：saonan.taobao.com
骚男零食店：latiaosao.taobao.com
各期封面：http://pan.baidu.com/s/1i4tZD57
骚男战歌：http://pan.baidu.com/s/1eRdQRQy
骚男微博：http://weibo.com/sao277?refer_flag=1001030101_&amp;amp;is_all=1",4410275,18408,649,106,73,75,无情,游戏视频,弟弟救我,刀锋之影泰隆,第一视角,骚男,菜的抠脚,声控福利,英雄联盟,素质主播骚声线
【安之峥嵘哥哥】 食堂日常 大鸡腿和卤蛋+韩国杂酱面,自制 安之峥嵘哥哥的食堂日常 大鸡腿加卤蛋 韩国杂酱面设定hin独特 吃相略野蛮 谢谢小伙伴们儿！！！,4410296,23680,733,74,43,226,圆脸安之的吃播,自制,萌妹纸,吃货,,,,,,
【银魂/浪客剑心/薄樱鬼】Night the Kill regale,"自制 _(:з」∠)_对江户时期的动漫有一种执念x 所以就想做一个江户时期动漫的混剪x
素材：《银魂》《薄樱鬼》《浪客剑心》
BGM《we Don't sleep at night》
_(:з」∠)_这次做的不是多满意...希望米娜桑多提些意见x",4410357,18672,406,125,1078,360,银魂,浪客剑心,薄樱鬼,新选组,银魂最高,,,,,
【燃向/多素材】不灭的火焰，战至永恒,"自制 BGM：Last One Standing
眼好疼，但是还是做了。
最后赏个硬币呗",4410404,25985,283,82,1511,400,燃向,AMV,多素材,黑岩射手,FATE/STAY NIGHT,新人向,热血,综漫,,
【小译字幕组】浦泽直树的漫勉（斋藤隆夫）,bilibili-,4410406,11137,156,20,627,77,NHK,艺术,,,,,,,,
段子狗日记 34 老司机带带我,自制 公众号：dogduan 动画每周二三四五更新，周一三更新漫画。快关注我收看最新搞笑动画吧！ 老司机发车了！不管你开的什么车，总之喝了酒就要找老司机带。段子狗动画每周二三更新，更多新动画漫画快关注我喔,4410386,15932,31,8,6,11,段子狗,段子狗日记,动画,国产,搞笑,捏捏动漫,老司机,发车,,
【BDF2016宅舞大赛】宅舞《爱之诗》亮点在后面,"自制 【BDF2016宅舞大赛】宅舞《爱之诗》亮点在后面 最强女女CP，百合控大叔看过来.
喜欢的记得关注：“豆浆大叔。”",4410455,15376,111,36,150,78,宅舞,百合控の福利,CP可逆不可拆,萝莉,,,,,,
神话组合19禁KISS 高清,自制 大混乱看得人心荡漾~~~~~··,4410460,12074,307,21,777,74,综艺剪辑,SHINHWA神话组合,,,,,,,,
【崔荣宰】站一天【ALL七】小七不只有co和我 还被哥弟宠爱(十分钟六对一对对呈现)围观,"自制 我说要站一天all七 说好的剪一个all7吓s你们 来了
在这个七co和七我大旗越来越威武的社会环境下 小七也是宠爱与被宠爱的
介于homie与bromance之间的视频 乐乐呵呵喜喜庆庆看啦 每对都有一定时间 欢迎来为你的两个宝宝挥旗
     bgm见评论",4410461,11874,677,43,829,342,GOT7,BAMBAM,王嘉尔,金有谦,段宜恩,朴珍荣,崔荣宰,林在范,范七,
【美剧】倾听心灵When Calls the Heart第一季【拉风字幕组】,拉风字幕组 出生于大城市的伊丽莎白娇生惯养，为了梦想来到西部煤镇教学，恰逢煤矿失事，留下一批孤儿寡母。伊丽莎白努力用自己的方法帮助孩子们学习，也渐渐把煤镇当作自己的家。被迫来到煤镇的骑警杰克一开始并不相信伊丽莎白能在煤镇待下去，渐渐的不但发现伊丽莎白的善良与坚持，而且爱上了伊丽莎白。。。。。伊丽莎白仿佛也爱上了这个不善于表达的骑警。。。。。,4410502,18280,589,28,828,39,电视剧,爱情,美剧,小说改编,傲娇,,,,,
【剑网三罪恶的仙人】永远不知道下一首会多男神系列第一期,"自制 剑网三罪恶的仙人唱歌男神音剪辑向
仙人偶尔会上的YY：40717173
仙人上YY会及时通知的微博：萌仙人的日子里
本视频是剪辑向，已经取得仙人同意才上传，禁止任何的二改二传么么哒~",4410507,116878,5493,439,6630,3113,仙人微博：PeterLee猛男,剪辑向,仙人我要给你充满爱的奶,男神音,剑网三,沉迷仙儿无法自拔,男神仙,罪恶的仙人,帅不过三秒,
人类能够居住在火星上吗 @柚子木字幕组,2 https://www.youtube.com/watch?v=Dzu8yXE4KNg【柚子木字幕组论坛正式开放 www.youzimu.com 招募翻译、听译、校对、时间轴】 更多精彩视频请 微信公众号Youzimu  微博搜索@柚子木字幕组 http://weibo.com/youzimucom,4410506,30648,335,295,389,59,柚子木字幕组,YOUTUBE,,,,,,,,
